dataset,trial,algorithm,cost,n_enabled,total_energy,late_min,swaps,trips
120,1,random,37.56,3,28277,1.7,30,33
120,1,ga,34.3,3,25599,0,27,30
120,2,random,37.85,3,28648,0,32,35
120,2,ga,34.35,3,25648,0,27,30
120,3,random,36.65,3,27646,0,30,33
120,3,ga,34.85,3,26152,0,27,30
120,4,random,38.12,3,28984,0.2,31,34
120,4,ga,34.18,3,25442,0.8,26,29
120,5,random,38.13,3,28833,0.0,33,36
120,5,ga,33.96,3,25278,0.5,26,29
120,6,random,37.52,3,27666,4.5,31,34
120,6,ga,35.2,3,26303,0,29,32
120,7,random,37.76,3,28461,0,33,36
120,7,ga,34.16,3,25357,0.6,27,30
120,8,random,37.71,3,28336,0.4,33,36
120,8,ga,33.63,3,24832,0,28,31
120,9,random,37.95,3,28643,1.2,31,34
120,9,ga,33.49,3,24893,0,26,29
120,10,random,38.04,3,28675,2.2,30,33
120,10,ga,34.85,3,26148,0,27,30
300,1,random,100.14,8,75737,0,84,92
300,1,ga,87.44,7,66341,0,71,78
300,2,random,100.32,7,75503,15.1,83,90
300,2,ga,85.75,6,66554,0,72,78
300,3,random,100.4,7,77157,3.9,86,93
300,3,ga,88.12,7,66818,0,73,80
300,4,random,99.31,7,75900,5.5,85,92
300,4,ga,88.57,7,67166,0,74,81
300,5,random,100.45,7,76909,4.4,88,95
300,5,ga,88.13,7,66578,0.3,75,82
300,6,random,97.05,7,74546,0,85,92
300,6,ga,87.64,7,66540,0,71,78
300,7,random,98.83,8,74526,0,83,91
300,7,ga,86.28,7,65180,0,71,78
300,8,random,99.52,6,78258,2.8,88,94
300,8,ga,86.87,7,65675,0,72,79
300,9,random,99.54,7,76238,3.0,88,95
300,9,ga,85.38,7,64381,0,70,77
300,10,random,99.95,7,76567,4.7,86,93
300,10,ga,87.82,7,66620,0,72,79
