from_node,to_node,distance_m,travel_time_base_s,detour_factor,can_direct_fly,source_type
DEP_W,DEP_W,0.0,0.0,1.08,1,preprocessed
DEP_W,DEP_E,991.3,99.1,1.08,1,preprocessed
DEP_W,CANTEEN_W,302.3,30.2,1.08,1,preprocessed
DEP_W,CANTEEN_E,1073.7,107.4,1.08,1,preprocessed
DEP_W,RESTAURANT_X,584.4,58.4,1.08,1,preprocessed
DEP_W,GATE_S,652.0,65.2,1.08,1,preprocessed
DEP_W,DORM_W,365.1,36.5,1.08,1,preprocessed
DEP_W,DORM_E,1270.0,127.0,1.08,1,preprocessed
DEP_W,LIB,623.8,62.4,1.08,1,preprocessed
DEP_E,DEP_W,991.3,99.1,1.08,1,preprocessed
DEP_E,DEP_E,0.0,0.0,1.08,1,preprocessed
DEP_E,CANTEEN_W,696.4,69.6,1.08,1,preprocessed
DEP_E,CANTEEN_E,82.4,8.2,1.08,1,preprocessed
DEP_E,RESTAURANT_X,408.2,40.8,1.08,1,preprocessed
DEP_E,GATE_S,826.7,82.7,1.08,1,preprocessed
DEP_E,DORM_W,864.9,86.5,1.08,1,preprocessed
DEP_E,DORM_E,290.6,29.1,1.08,1,preprocessed
DEP_E,LIB,453.9,45.4,1.08,1,preprocessed
CANTEEN_W,DEP_W,302.3,30.2,1.08,1,preprocessed
CANTEEN_W,DEP_E,696.4,69.6,1.08,1,preprocessed
CANTEEN_W,CANTEEN_W,0.0,0.0,1.08,1,preprocessed
CANTEEN_W,CANTEEN_E,778.8,77.9,1.08,1,preprocessed
CANTEEN_W,RESTAURANT_X,297.8,29.8,1.08,1,preprocessed
CANTEEN_W,GATE_S,489.3,48.9,1.08,1,preprocessed
CANTEEN_W,DORM_W,386.5,38.6,1.08,1,preprocessed
CANTEEN_W,DORM_E,980.9,98.1,1.08,1,preprocessed
CANTEEN_W,LIB,392.8,39.3,1.08,1,preprocessed
CANTEEN_E,DEP_W,1073.7,107.4,1.08,1,preprocessed
CANTEEN_E,DEP_E,82.4,8.2,1.08,1,preprocessed
CANTEEN_E,CANTEEN_W,778.8,77.9,1.08,1,preprocessed
CANTEEN_E,CANTEEN_E,0.0,0.0,1.08,1,preprocessed
CANTEEN_E,RESTAURANT_X,490.2,49.0,1.08,1,preprocessed
CANTEEN_E,GATE_S,892.7,89.3,1.08,1,preprocessed
CANTEEN_E,DORM_W,941.1,94.1,1.08,1,preprocessed
CANTEEN_E,DORM_E,212.8,21.3,1.08,1,preprocessed
CANTEEN_E,LIB,527.2,52.7,1.08,1,preprocessed
RESTAURANT_X,DEP_W,584.4,58.4,1.08,1,preprocessed
RESTAURANT_X,DEP_E,408.2,40.8,1.08,1,preprocessed
RESTAURANT_X,CANTEEN_W,297.8,29.8,1.08,1,preprocessed
RESTAURANT_X,CANTEEN_E,490.2,49.0,1.08,1,preprocessed
RESTAURANT_X,RESTAURANT_X,0.0,0.0,1.08,1,preprocessed
RESTAURANT_X,GATE_S,605.6,60.6,1.08,1,preprocessed
RESTAURANT_X,DORM_W,492.6,49.3,1.08,1,preprocessed
RESTAURANT_X,DORM_E,686.1,68.6,1.08,1,preprocessed
RESTAURANT_X,LIB,183.6,18.4,1.08,1,preprocessed
GATE_S,DEP_W,652.0,65.2,1.08,1,preprocessed
GATE_S,DEP_E,826.7,82.7,1.08,1,preprocessed
GATE_S,CANTEEN_W,489.3,48.9,1.08,1,preprocessed
GATE_S,CANTEEN_E,892.7,89.3,1.08,1,preprocessed
GATE_S,RESTAURANT_X,605.6,60.6,1.08,1,preprocessed
GATE_S,GATE_S,0.0,0.0,1.08,1,preprocessed
GATE_S,DORM_W,873.2,87.3,1.08,1,preprocessed
GATE_S,DORM_E,1101.4,110.1,1.08,1,preprocessed
GATE_S,LIB,780.8,78.1,1.08,1,preprocessed
DORM_W,DEP_W,365.1,36.5,1.08,1,preprocessed
DORM_W,DEP_E,864.9,86.5,1.08,1,preprocessed
DORM_W,CANTEEN_W,386.5,38.6,1.08,1,preprocessed
DORM_W,CANTEEN_E,941.1,94.1,1.08,1,preprocessed
DORM_W,RESTAURANT_X,492.6,49.3,1.08,1,preprocessed
DORM_W,GATE_S,873.2,87.3,1.08,1,preprocessed
DORM_W,DORM_W,0.0,0.0,1.08,1,preprocessed
DORM_W,DORM_E,1103.5,110.4,1.08,1,preprocessed
DORM_W,LIB,416.2,41.6,1.08,1,preprocessed
DORM_E,DEP_W,1270.0,127.0,1.08,1,preprocessed
DORM_E,DEP_E,290.6,29.1,1.08,1,preprocessed
DORM_E,CANTEEN_W,980.9,98.1,1.08,1,preprocessed
DORM_E,CANTEEN_E,212.8,21.3,1.08,1,preprocessed
DORM_E,RESTAURANT_X,686.1,68.6,1.08,1,preprocessed
DORM_E,GATE_S,1101.4,110.1,1.08,1,preprocessed
DORM_E,DORM_W,1103.5,110.4,1.08,1,preprocessed
DORM_E,DORM_E,0.0,0.0,1.08,1,preprocessed
DORM_E,LIB,688.3,68.8,1.08,1,preprocessed
LIB,DEP_W,623.8,62.4,1.08,1,preprocessed
LIB,DEP_E,453.9,45.4,1.08,1,preprocessed
LIB,CANTEEN_W,392.8,39.3,1.08,1,preprocessed
LIB,CANTEEN_E,527.2,52.7,1.08,1,preprocessed
LIB,RESTAURANT_X,183.6,18.4,1.08,1,preprocessed
LIB,GATE_S,780.8,78.1,1.08,1,preprocessed
LIB,DORM_W,416.2,41.6,1.08,1,preprocessed
LIB,DORM_E,688.3,68.8,1.08,1,preprocessed
LIB,LIB,0.0,0.0,1.08,1,preprocessed
